EntityName,EntityProperty,EntityPropertyType,ViewModelType,ViewModelProperty,ViewModelPropertyType,MappingStatus,Notes
Customer,,,CustomerDetailVM (Detail),PhoneType,string?,MissingInEntity,Property exists in ViewModel but not in entity
Customer,,,CustomerDetailVM (Detail),CreatedAt,DateTime,MissingInEntity,Property exists in ViewModel but not in entity
Customer,,,CustomerDetailVM (Detail),UpdatedAt,DateTime?,MissingInEntity,Property exists in ViewModel but not in entity
Customer,FirstName,string,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,LastName,string,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,NationalId,string,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Address,Address,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Phone,Phone,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Email,string,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,DateOfBirth,DateTime?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Gender,string?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Occupation,string?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,EmployerName,string?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,MonthlyIncome,decimal?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,CreditScore,int?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,SourceOfFunds,string?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,PurposeOfLoan,string?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Notes,string?,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Contracts,IReadOnlyCollection<Contract>,CustomerContractSummaryVM (Summary),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,,,CustomerContractSummaryVM (Summary),Id,Guid,MissingInEntity,Property exists in ViewModel but not in entity
Customer,Phone,Phone,CustomerContractSummaryVM (Summary),ContractNumber,string,Flattened,Value object Phone flattened to ContractNumber
Customer,,,CustomerContractSummaryVM (Summary),Status,ContractStatus,MissingInEntity,Property exists in ViewModel but not in entity
Customer,,,CustomerContractSummaryVM (Summary),TotalAmount,decimal,Derived,Computed/derived property
Customer,,,CustomerContractSummaryVM (Summary),Currency,string,MissingInEntity,Property exists in ViewModel but not in entity
Customer,FirstName,string,CustomerListVM (List),FirstName,string,Derived,Computed/derived property
Customer,LastName,string,CustomerListVM (List),LastName,string,Derived,Computed/derived property
Customer,NationalId,string,CustomerListVM (List),NationalId,string,Matched,
Customer,Address,Address,CustomerListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Phone,Phone,CustomerListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Email,string,CustomerListVM (List),Email,string?,Matched,
Customer,DateOfBirth,DateTime?,CustomerListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Gender,string?,CustomerListVM (List),Gender,string?,Matched,
Customer,Occupation,string?,CustomerListVM (List),Occupation,string?,Matched,
Customer,EmployerName,string?,CustomerListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,MonthlyIncome,decimal?,CustomerListVM (List),MonthlyIncome,decimal?,Matched,
Customer,CreditScore,int?,CustomerListVM (List),CreditScore,int?,Matched,
Customer,SourceOfFunds,string?,CustomerListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,PurposeOfLoan,string?,CustomerListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Notes,string?,CustomerListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Contracts,IReadOnlyCollection<Contract>,CustomerListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,,,CustomerListVM (List),Id,Guid,MissingInEntity,Property exists in ViewModel but not in entity
Customer,,,CustomerListVM (List),FullName,string,Derived,Computed/derived property
Customer,Address,Address,CustomerListVM (List),PhoneCountryCode,string?,Flattened,Value object Address flattened to PhoneCountryCode
Customer,,,CustomerListVM (List),PhoneCountryCode,string?,Derived,Computed/derived property
Customer,Phone,Phone,CustomerListVM (List),PhoneAreaCode,string?,Flattened,Value object Phone flattened to PhoneAreaCode
Customer,Phone,Phone,CustomerListVM (List),PhoneNumber,string?,Flattened,Value object Phone flattened to PhoneNumber
Customer,,,CustomerListVM (List),PhoneType,string?,MissingInEntity,Property exists in ViewModel but not in entity
Customer,,,CustomerListVM (List),PhoneDisplay,string,Derived,Computed/derived property
Customer,Address,Address,CustomerListVM (List),Street,string?,Flattened,Value object Address flattened to Street
Customer,Address,Address,CustomerListVM (List),City,string?,Flattened,Value object Address flattened to City
Customer,Address,Address,CustomerListVM (List),State,string?,Flattened,Value object Address flattened to State
Customer,Address,Address,CustomerListVM (List),Country,string?,Flattened,Value object Address flattened to Country
Customer,,,CustomerListVM (List),Country,string?,Derived,Computed/derived property
Customer,Address,Address,CustomerListVM (List),ZipCode,string?,Flattened,Value object Address flattened to ZipCode
Customer,,,CustomerListVM (List),AddressDisplay,string,Derived,Computed/derived property
Customer,,,CustomerListVM (List),CreatedAt,DateTime,MissingInEntity,Property exists in ViewModel but not in entity
Customer,FirstName,string,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,LastName,string,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,NationalId,string,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Address,Address,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Phone,Phone,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Email,string,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,DateOfBirth,DateTime?,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Gender,string?,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Occupation,string?,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,EmployerName,string?,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,MonthlyIncome,decimal?,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,CreditScore,int?,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,SourceOfFunds,string?,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,PurposeOfLoan,string?,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Notes,string?,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Contracts,IReadOnlyCollection<Contract>,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,,,CustomerFollowUpPatternVM (General),CustomerId,Guid,MissingInEntity,Property exists in ViewModel but not in entity
Customer,,,CustomerFollowUpPatternVM (General),TotalFollowUps,int,Derived,Computed/derived property
Customer,,,CustomerFollowUpPatternVM (General),CompletedFollowUps,int,MissingInEntity,Property exists in ViewModel but not in entity
Customer,,,CustomerFollowUpPatternVM (General),PendingFollowUps,int,MissingInEntity,Property exists in ViewModel but not in entity
Customer,,,CustomerFollowUpPatternVM (General),AverageFollowUpsPerMonth,decimal,MissingInEntity,Property exists in ViewModel but not in entity
Customer,,,CustomerFollowUpPatternVM (General),LastFollowUpDate,DateTime?,MissingInEntity,Property exists in ViewModel but not in entity
Customer,,,CustomerFollowUpPatternVM (General),FollowUpFrequency,double,MissingInEntity,Property exists in ViewModel but not in entity
Customer,FirstName,string,CustomerVisitPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,LastName,string,CustomerVisitPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,NationalId,string,CustomerVisitPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Address,Address,CustomerVisitPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Phone,Phone,CustomerVisitPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Email,string,CustomerVisitPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,DateOfBirth,DateTime?,CustomerVisitPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Gender,string?,CustomerVisitPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Occupation,string?,CustomerVisitPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,EmployerName,string?,CustomerVisitPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,MonthlyIncome,decimal?,CustomerVisitPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,CreditScore,int?,CustomerVisitPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,SourceOfFunds,string?,CustomerVisitPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,PurposeOfLoan,string?,CustomerVisitPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Notes,string?,CustomerVisitPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Contracts,IReadOnlyCollection<Contract>,CustomerVisitPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,,,CustomerVisitPatternVM (General),CustomerId,Guid,MissingInEntity,Property exists in ViewModel but not in entity
Customer,,,CustomerVisitPatternVM (General),TotalVisits,int,Derived,Computed/derived property
Customer,,,CustomerVisitPatternVM (General),AverageVisitsPerMonth,decimal,MissingInEntity,Property exists in ViewModel but not in entity
Customer,,,CustomerVisitPatternVM (General),LastVisitDate,DateTime?,MissingInEntity,Property exists in ViewModel but not in entity
Customer,,,CustomerVisitPatternVM (General),VisitFrequency,double,MissingInEntity,Property exists in ViewModel but not in entity
Customer,,,CustomerVisitPatternVM (General),PreferredVisitDays,List<string>,MissingInEntity,Property exists in ViewModel but not in entity
Customer,FirstName,string,CustomerEngagementReportVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,LastName,string,CustomerEngagementReportVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,NationalId,string,CustomerEngagementReportVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Address,Address,CustomerEngagementReportVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Phone,Phone,CustomerEngagementReportVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Email,string,CustomerEngagementReportVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,DateOfBirth,DateTime?,CustomerEngagementReportVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Gender,string?,CustomerEngagementReportVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Occupation,string?,CustomerEngagementReportVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,EmployerName,string?,CustomerEngagementReportVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,MonthlyIncome,decimal?,CustomerEngagementReportVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,CreditScore,int?,CustomerEngagementReportVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,SourceOfFunds,string?,CustomerEngagementReportVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,PurposeOfLoan,string?,CustomerEngagementReportVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Notes,string?,CustomerEngagementReportVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,Contracts,IReadOnlyCollection<Contract>,CustomerEngagementReportVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
Customer,,,CustomerEngagementReportVM (General),CustomerId,Guid,MissingInEntity,Property exists in ViewModel but not in entity
Customer,,,CustomerEngagementReportVM (General),TotalVisits,int,Derived,Computed/derived property
Customer,,,CustomerEngagementReportVM (General),TotalPayments,int,Derived,Computed/derived property
Customer,,,CustomerEngagementReportVM (General),TotalAmountPaid,decimal,Derived,Computed/derived property
Customer,,,CustomerEngagementReportVM (General),LastVisitDate,DateTime?,MissingInEntity,Property exists in ViewModel but not in entity
Customer,,,CustomerEngagementReportVM (General),LastPaymentDate,DateTime?,MissingInEntity,Property exists in ViewModel but not in entity
Customer,,,CustomerEngagementReportVM (General),VisitFrequency,double,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,CustomerId,Guid,FollowUpCreateVM (Create),CustomerId,Guid,Matched,
FollowUp,ContractId,Guid?,FollowUpCreateVM (Create),ContractId,Guid?,Matched,
FollowUp,StaffId,Guid,FollowUpCreateVM (Create),StaffId,Guid,Matched,
FollowUp,ScheduledDate,DateTime,FollowUpCreateVM (Create),ScheduledDate,DateTime,Matched,
FollowUp,ActualDate,DateTime?,FollowUpCreateVM (Create),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Type,string,FollowUpCreateVM (Create),Type,string,Matched,
FollowUp,Priority,string,FollowUpCreateVM (Create),Priority,string,Matched,
FollowUp,Status,string,FollowUpCreateVM (Create),Status,string,Matched,
FollowUp,Notes,string?,FollowUpCreateVM (Create),Notes,string?,Matched,
FollowUp,Outcome,string?,FollowUpCreateVM (Create),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,AssignedToStaffId,Guid?,FollowUpCreateVM (Create),AssignedToStaffId,Guid?,Matched,
FollowUp,Description,string?,FollowUpCreateVM (Create),Description,string,Matched,
FollowUp,Customer,Customer?,FollowUpCreateVM (Create),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Contract,Contract?,FollowUpCreateVM (Create),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Staff,Staff?,FollowUpCreateVM (Create),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,CustomerId,Guid,FollowUpUpdateVM (Update),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,ContractId,Guid?,FollowUpUpdateVM (Update),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,StaffId,Guid,FollowUpUpdateVM (Update),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,ScheduledDate,DateTime,FollowUpUpdateVM (Update),ScheduledDate,DateTime?,Matched,
FollowUp,ActualDate,DateTime?,FollowUpUpdateVM (Update),ActualDate,DateTime?,Matched,
FollowUp,Type,string,FollowUpUpdateVM (Update),Type,string?,Matched,
FollowUp,Priority,string,FollowUpUpdateVM (Update),Priority,string?,Matched,
FollowUp,Status,string,FollowUpUpdateVM (Update),Status,string?,Matched,
FollowUp,Notes,string?,FollowUpUpdateVM (Update),Notes,string?,Matched,
FollowUp,Outcome,string?,FollowUpUpdateVM (Update),Outcome,string?,Matched,
FollowUp,AssignedToStaffId,Guid?,FollowUpUpdateVM (Update),AssignedToStaffId,Guid?,Matched,
FollowUp,Description,string?,FollowUpUpdateVM (Update),Description,string?,Matched,
FollowUp,Customer,Customer?,FollowUpUpdateVM (Update),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Contract,Contract?,FollowUpUpdateVM (Update),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Staff,Staff?,FollowUpUpdateVM (Update),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,,,FollowUpUpdateVM (Update),Id,Guid,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,CustomerId,Guid,FollowUpDetailVM (Detail),CustomerId,Guid,Matched,
FollowUp,ContractId,Guid?,FollowUpDetailVM (Detail),ContractId,Guid?,Matched,
FollowUp,StaffId,Guid,FollowUpDetailVM (Detail),StaffId,Guid,Matched,
FollowUp,ScheduledDate,DateTime,FollowUpDetailVM (Detail),ScheduledDate,DateTime,Matched,
FollowUp,ActualDate,DateTime?,FollowUpDetailVM (Detail),ActualDate,DateTime?,Matched,
FollowUp,Type,string,FollowUpDetailVM (Detail),Type,string?,Matched,
FollowUp,Priority,string,FollowUpDetailVM (Detail),Priority,string?,Matched,
FollowUp,Status,string,FollowUpDetailVM (Detail),Status,string?,Matched,
FollowUp,Notes,string?,FollowUpDetailVM (Detail),Notes,string?,Matched,
FollowUp,Outcome,string?,FollowUpDetailVM (Detail),Outcome,string?,Matched,
FollowUp,AssignedToStaffId,Guid?,FollowUpDetailVM (Detail),AssignedToStaffId,Guid?,Matched,
FollowUp,Description,string?,FollowUpDetailVM (Detail),Description,string?,Matched,
FollowUp,Customer,Customer?,FollowUpDetailVM (Detail),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Contract,Contract?,FollowUpDetailVM (Detail),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Staff,Staff?,FollowUpDetailVM (Detail),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,,,FollowUpDetailVM (Detail),Id,Guid,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,,,FollowUpDetailVM (Detail),CustomerName,string,Derived,Computed/derived property
FollowUp,,,FollowUpDetailVM (Detail),StaffName,string,Derived,Computed/derived property
FollowUp,,,FollowUpDetailVM (Detail),AssignedStaffName,string,Derived,Computed/derived property
FollowUp,,,FollowUpDetailVM (Detail),ContractNumber,string?,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,,,FollowUpDetailVM (Detail),CreatedAt,DateTime,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,,,FollowUpDetailVM (Detail),UpdatedAt,DateTime?,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,CustomerId,Guid,FollowUpListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,ContractId,Guid?,FollowUpListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,StaffId,Guid,FollowUpListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,ScheduledDate,DateTime,FollowUpListVM (List),ScheduledDate,DateTime,Matched,
FollowUp,ActualDate,DateTime?,FollowUpListVM (List),ActualDate,DateTime?,Matched,
FollowUp,Type,string,FollowUpListVM (List),Type,string?,Matched,
FollowUp,Priority,string,FollowUpListVM (List),Priority,string?,Matched,
FollowUp,Status,string,FollowUpListVM (List),Status,string?,Matched,
FollowUp,Notes,string?,FollowUpListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Outcome,string?,FollowUpListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,AssignedToStaffId,Guid?,FollowUpListVM (List),AssignedToStaffId,Guid?,Matched,
FollowUp,Description,string?,FollowUpListVM (List),Description,string?,Matched,
FollowUp,Customer,Customer?,FollowUpListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Contract,Contract?,FollowUpListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Staff,Staff?,FollowUpListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,,,FollowUpListVM (List),Id,Guid,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,,,FollowUpListVM (List),CustomerName,string,Derived,Computed/derived property
FollowUp,,,FollowUpListVM (List),ContractNumber,string?,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,,,FollowUpListVM (List),StaffName,string,Derived,Computed/derived property
FollowUp,,,FollowUpListVM (List),CreatedAt,DateTime,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,CustomerId,Guid,FollowUpAnalyticsViewModels (Analytics),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,ContractId,Guid?,FollowUpAnalyticsViewModels (Analytics),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,StaffId,Guid,FollowUpAnalyticsViewModels (Analytics),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,ScheduledDate,DateTime,FollowUpAnalyticsViewModels (Analytics),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,ActualDate,DateTime?,FollowUpAnalyticsViewModels (Analytics),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Type,string,FollowUpAnalyticsViewModels (Analytics),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Priority,string,FollowUpAnalyticsViewModels (Analytics),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Status,string,FollowUpAnalyticsViewModels (Analytics),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Notes,string?,FollowUpAnalyticsViewModels (Analytics),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Outcome,string?,FollowUpAnalyticsViewModels (Analytics),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,AssignedToStaffId,Guid?,FollowUpAnalyticsViewModels (Analytics),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Description,string?,FollowUpAnalyticsViewModels (Analytics),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Customer,Customer?,FollowUpAnalyticsViewModels (Analytics),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Contract,Contract?,FollowUpAnalyticsViewModels (Analytics),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Staff,Staff?,FollowUpAnalyticsViewModels (Analytics),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,CustomerId,Guid,FollowUpEffectivenessVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,ContractId,Guid?,FollowUpEffectivenessVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,StaffId,Guid,FollowUpEffectivenessVM (General),StaffId,Guid,Matched,
FollowUp,ScheduledDate,DateTime,FollowUpEffectivenessVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,ActualDate,DateTime?,FollowUpEffectivenessVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Type,string,FollowUpEffectivenessVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Priority,string,FollowUpEffectivenessVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Status,string,FollowUpEffectivenessVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Notes,string?,FollowUpEffectivenessVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Outcome,string?,FollowUpEffectivenessVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,AssignedToStaffId,Guid?,FollowUpEffectivenessVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Description,string?,FollowUpEffectivenessVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Customer,Customer?,FollowUpEffectivenessVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Contract,Contract?,FollowUpEffectivenessVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Staff,Staff?,FollowUpEffectivenessVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,,,FollowUpEffectivenessVM (General),TotalFollowUps,int,Derived,Computed/derived property
FollowUp,,,FollowUpEffectivenessVM (General),CompletedFollowUps,int,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,,,FollowUpEffectivenessVM (General),PendingFollowUps,int,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,,,FollowUpEffectivenessVM (General),OverdueFollowUps,int,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,,,FollowUpEffectivenessVM (General),CompletionRate,decimal,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,,,FollowUpEffectivenessVM (General),AverageCompletionTime,double,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,CustomerId,Guid,FollowUpPerformanceVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,ContractId,Guid?,FollowUpPerformanceVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,StaffId,Guid,FollowUpPerformanceVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,ScheduledDate,DateTime,FollowUpPerformanceVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,ActualDate,DateTime?,FollowUpPerformanceVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Type,string,FollowUpPerformanceVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Priority,string,FollowUpPerformanceVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Status,string,FollowUpPerformanceVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Notes,string?,FollowUpPerformanceVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Outcome,string?,FollowUpPerformanceVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,AssignedToStaffId,Guid?,FollowUpPerformanceVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Description,string?,FollowUpPerformanceVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Customer,Customer?,FollowUpPerformanceVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Contract,Contract?,FollowUpPerformanceVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,Staff,Staff?,FollowUpPerformanceVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,,,FollowUpPerformanceVM (General),FromDate,DateTime,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,,,FollowUpPerformanceVM (General),ToDate,DateTime,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,,,FollowUpPerformanceVM (General),TotalFollowUps,int,Derived,Computed/derived property
FollowUp,,,FollowUpPerformanceVM (General),CompletedFollowUps,int,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,,,FollowUpPerformanceVM (General),PendingFollowUps,int,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,,,FollowUpPerformanceVM (General),OverdueFollowUps,int,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,,,FollowUpPerformanceVM (General),HighPriorityFollowUps,int,MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,,,FollowUpPerformanceVM (General),FollowUpsByType,"Dictionary<string, int>",MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,,,FollowUpPerformanceVM (General),FollowUpsByPriority,"Dictionary<string, int>",MissingInEntity,Property exists in ViewModel but not in entity
FollowUp,CustomerId,Guid,CustomerFollowUpPatternVM (General),CustomerId,Guid,Matched,
FollowUp,ContractId,Guid?,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,StaffId,Guid,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,ScheduledDate,DateTime,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
FollowUp,ActualDate,DateTime?,CustomerFollowUpPatternVM (General),,,MissingInViewModel,Property exists in entity but not in ViewModel
